block_number;t_start;t_end;zeros_count
143;1007100000000;1007150000000;492411605
144;1007150000000;1007200000000;492463871
145;1007200000000;1007250000000;492478223
146;1007250000000;1007300000000;492506106
147;1007300000000;1007350000000;492548074
148;1007350000000;1007400000000;492394772
149;1007400000000;1007450000000;492540036
150;1007450000000;1007500000000;492432608
151;1007500000000;1007550000000;492455478
152;1007550000000;1007600000000;492394236
153;1007600000000;1007650000000;492372999
154;1007650000000;1007700000000;492445445
155;1007700000000;1007750000000;492391690
156;1007750000000;1007800000000;492402413
157;1007800000000;1007850000000;492509025
158;1007850000000;1007900000000;492423885
159;1007900000000;1007950000000;492468580
160;1007950000000;1008000000000;492572246
161;1008000000000;1008050000000;492459339
162;1008050000000;1008100000000;492653308
163;1008100000000;1008150000000;492532534
164;1008150000000;1008200000000;492542339
165;1008200000000;1008250000000;492488774
166;1008250000000;1008300000000;492468028
167;1008300000000;1008350000000;492563793
168;1008350000000;1008400000000;492489335
169;1008400000000;1008450000000;492500156
170;1008450000000;1008500000000;492430290
171;1008500000000;1008550000000;492487731
172;1008550000000;1008600000000;492416840
173;1008600000000;1008650000000;492531488
174;1008650000000;1008700000000;492517475
175;1008700000000;1008750000000;492607248
1;1000000000000;1000050000000;492015824
2;1000050000000;1000100000000;492018755
3;1000100000000;1000150000000;492121827
1;1000000000000;1000050000000;492015824
